observation_id,access,user_id,specie_id,specie_name,major_clade,family_molecules,family_morphology,location_id,location_name,latitude,longitude,resource_id,resource_secondary_id,measurement_id,trait_id,trait_name,standard_id,standard_unit,methodology_id,methodology_name,value,value_type,precision,precision_type,precision_upper,replicates,notes
91814,1,54,12,Acanthastrea regularis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99541,138,Range size,8,km^2,10,Calculated from GIS shapefile,18277163.7,raw_value,,,,,
110928,1,2,12,Acanthastrea regularis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125375,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,massive,expert_opinion,,,,,
715,1,5,12,Acanthastrea regularis,Robust,Lobophyllidae,Mussidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,685,65,Abundance GBR,10,cat,22,Derived from textual description,uncommon,expert_opinion,,,,,
733,1,1,12,Acanthastrea regularis,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,702,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,12772066.84,raw_value,,,,,
781,1,5,13,Acanthastrea rotundoflora,Robust,Lobophyllidae,Mussidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,748,65,Abundance GBR,10,cat,22,Derived from textual description,uncommon,expert_opinion,,,,,
91819,1,54,13,Acanthastrea rotundoflora,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99546,138,Range size,8,km^2,10,Calculated from GIS shapefile,36447626.01,raw_value,,,,,
799,1,1,13,Acanthastrea rotundoflora,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,765,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,23293042.8,raw_value,,,,,
110930,1,2,13,Acanthastrea rotundoflora,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125377,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,encrusting,expert_opinion,,,,,
110933,1,2,14,Acanthastrea subechinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,125380,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,massive,expert_opinion,,,,,
91824,1,54,14,Acanthastrea subechinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,605,,99551,138,Range size,8,km^2,10,Calculated from GIS shapefile,6842876.75,raw_value,,,,,
860,1,1,14,Acanthastrea subechinata,Robust,Lobophyllidae,Mussidae,1,Global estimate,,,10,,824,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,11559186.44,raw_value,,,,,
91829,1,54,16,Acropora abrolhosensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99556,138,Range size,8,km^2,10,Calculated from GIS shapefile,36395649.31,raw_value,,,,,
950,1,5,16,Acropora abrolhosensis,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,910,65,Abundance GBR,10,cat,22,Derived from textual description,common,expert_opinion,,,,,
975,1,1,16,Acropora abrolhosensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,934,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,14675273,raw_value,,,,,
110936,1,2,16,Acropora abrolhosensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125383,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_open,expert_opinion,,,,,
1055,1,1,17,Acropora abrotanoides,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1010,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,39971751.25,raw_value,,,,,
91834,1,54,17,Acropora abrotanoides,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99561,138,Range size,8,km^2,10,Calculated from GIS shapefile,86867617.08,raw_value,,,,,
1032,1,5,17,Acropora abrotanoides,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,988,65,Abundance GBR,10,cat,22,Derived from textual description,common,expert_opinion,,,,,
110938,1,2,17,Acropora abrotanoides,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125385,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_open,expert_opinion,,,,,
1110,1,5,18,Acropora aculeus,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,1062,65,Abundance GBR,10,cat,22,Derived from textual description,common,expert_opinion,,,,,
110940,1,2,18,Acropora aculeus,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125387,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,corymbose,expert_opinion,,,,,
91839,1,54,18,Acropora aculeus,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99566,138,Range size,8,km^2,10,Calculated from GIS shapefile,63784302.14,raw_value,,,,,
1136,1,1,18,Acropora aculeus,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1087,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,30558281.47,raw_value,,,,,
1191,1,5,19,Acropora acuminata,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,1139,65,Abundance GBR,10,cat,22,Derived from textual description,uncommon,expert_opinion,,,,,
110942,1,2,19,Acropora acuminata,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125389,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_open,expert_opinion,,,,,
91844,1,54,19,Acropora acuminata,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99571,138,Range size,8,km^2,10,Calculated from GIS shapefile,56280486.96,raw_value,,,,,
1217,1,1,19,Acropora acuminata,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1164,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,29490107.99,raw_value,,,,,
91849,1,54,20,Acropora akajimensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99576,138,Range size,8,km^2,10,Calculated from GIS shapefile,11535146.43,raw_value,,,,,
1267,1,5,20,Acropora akajimensis,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,1213,65,Abundance GBR,10,cat,22,Derived from textual description,uncommon,expert_opinion,,,,,
1289,1,1,20,Acropora akajimensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1234,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,2531097.507,raw_value,,,,,
110944,1,2,20,Acropora akajimensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125391,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_closed,expert_opinion,,,,,
1370,1,1,21,Acropora anthocercis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1311,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,32534699.14,raw_value,,,,,
110947,1,2,21,Acropora anthocercis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125394,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,tables_or_plates,expert_opinion,,,,,
1344,1,5,21,Acropora anthocercis,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,1286,65,Abundance GBR,10,cat,22,Derived from textual description,common,expert_opinion,,,,,
91854,1,54,21,Acropora anthocercis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99581,138,Range size,8,km^2,10,Calculated from GIS shapefile,68616522.86,raw_value,,,,,
1439,1,1,22,Acropora appressa,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1380,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,4159356.706,raw_value,,,,,
91859,1,54,22,Acropora appressa,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99586,138,Range size,8,km^2,10,Calculated from GIS shapefile,17422343.03,raw_value,,,,,
110950,1,2,22,Acropora appressa,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125397,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,corymbose,expert_opinion,,,,,
110953,1,2,23,Acropora arabensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125400,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,digitate,expert_opinion,,,,,
1508,1,1,23,Acropora arabensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1447,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,4076597.372,raw_value,,,,,
91864,1,54,23,Acropora arabensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99591,138,Range size,8,km^2,10,Calculated from GIS shapefile,24142899.65,raw_value,,,,,
160461,1,2,1573,Acropora arafura,Complex,Acroporidae,Acroporidae,1,Global estimate,,,677,,204379,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_closed,expert_opinion,,,,,
1568,1,5,24,Acropora aspera,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,1507,65,Abundance GBR,10,cat,22,Derived from textual description,common,expert_opinion,,,,,
91869,1,54,24,Acropora aspera,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99596,138,Range size,8,km^2,10,Calculated from GIS shapefile,53252636.55,raw_value,,,,,
1593,1,1,24,Acropora aspera,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1531,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,30619195.62,raw_value,,,,,
110955,1,2,24,Acropora aspera,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125402,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_open,expert_opinion,,,,,
156946,1,14,24,Acropora aspera,Complex,Acroporidae,Acroporidae,409,Indo-Pacific (unspecified),0,160,740,,199748,233,Life history strategy,10,cat,76,Random forests analyses (Darling et al. 2012),competitive,model_derived,,,,,
91874,1,54,25,Acropora austera,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99601,138,Range size,8,km^2,10,Calculated from GIS shapefile,82945176.51,raw_value,,,,,
110957,1,2,25,Acropora austera,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125404,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_open,expert_opinion,,,,,
1676,1,1,25,Acropora austera,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1610,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,38474764.71,raw_value,,,,,
1650,1,5,25,Acropora austera,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,1585,65,Abundance GBR,10,cat,22,Derived from textual description,uncommon,expert_opinion,,,,,
1744,1,1,26,Acropora awi,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1676,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,7434259.194,raw_value,,,,,
91879,1,54,26,Acropora awi,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99606,138,Range size,8,km^2,10,Calculated from GIS shapefile,11466747.37,raw_value,,,,,
110959,1,2,26,Acropora awi,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125406,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,hispidose,expert_opinion,,,,,
1794,1,5,27,Acropora azurea,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,1723,65,Abundance GBR,10,cat,22,Derived from textual description,uncommon,expert_opinion,,,,,
91884,1,54,27,Acropora azurea,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99611,138,Range size,8,km^2,10,Calculated from GIS shapefile,6031458.039,raw_value,,,,,
1811,1,1,27,Acropora azurea,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1739,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,3005906.678,raw_value,,,,,
110961,1,2,27,Acropora azurea,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125408,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_closed,expert_opinion,,,,,
91889,1,54,28,Acropora batunai,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99616,138,Range size,8,km^2,10,Calculated from GIS shapefile,9482460.974,raw_value,,,,,
110963,1,2,28,Acropora batunai,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125410,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,tables_or_plates,expert_opinion,,,,,
1880,1,1,28,Acropora batunai,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1806,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,4275093.004,raw_value,,,,,
110966,1,2,29,Acropora bifurcata,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125413,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,tables_or_plates,expert_opinion,,,,,
1950,1,1,29,Acropora bifurcata,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1875,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,16117204.74,raw_value,,,,,
91894,1,54,29,Acropora bifurcata,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99621,138,Range size,8,km^2,10,Calculated from GIS shapefile,27900030.29,raw_value,,,,,
110968,1,2,30,Acropora branchi,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125415,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,tables_or_plates,expert_opinion,,,,,
91899,1,54,30,Acropora branchi,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99626,138,Range size,8,km^2,10,Calculated from GIS shapefile,8641395.461,raw_value,,,,,
2015,1,1,30,Acropora branchi,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,1939,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,1319852.235,raw_value,,,,,
2180,1,1,32,Acropora bushyensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,2097,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,3264616.723,raw_value,,,,,
91909,1,54,32,Acropora bushyensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99636,138,Range size,8,km^2,10,Calculated from GIS shapefile,5469063.328,raw_value,,,,,
2154,1,5,32,Acropora bushyensis,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,2072,65,Abundance GBR,10,cat,22,Derived from textual description,rare,expert_opinion,,,,,
110970,1,2,32,Acropora bushyensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125417,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,digitate,expert_opinion,,,,,
91914,1,54,33,Acropora cardenae,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99641,138,Range size,8,km^2,10,Calculated from GIS shapefile,4522571.993,raw_value,,,,,
110972,1,2,33,Acropora cardenae,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125419,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_open,expert_opinion,,,,,
2231,1,5,33,Acropora cardenae,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,2146,65,Abundance GBR,10,cat,22,Derived from textual description,common,expert_opinion,,,,,
2250,1,1,33,Acropora cardenae,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,2164,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,3124818.374,raw_value,,,,,
2307,1,5,34,Acropora carduus,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,2218,65,Abundance GBR,10,cat,22,Derived from textual description,common,expert_opinion,,,,,
110974,1,2,34,Acropora carduus,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125421,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,hispidose,expert_opinion,,,,,
91919,1,54,34,Acropora carduus,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99646,138,Range size,8,km^2,10,Calculated from GIS shapefile,45686237.15,raw_value,,,,,
2331,1,1,34,Acropora carduus,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,2241,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,30123945.69,raw_value,,,,,
91924,1,54,35,Acropora caroliniana,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99651,138,Range size,8,km^2,10,Calculated from GIS shapefile,38921904.9,raw_value,,,,,
110976,1,2,35,Acropora caroliniana,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125423,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,tables_or_plates,expert_opinion,,,,,
2386,1,5,35,Acropora caroliniana,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,2293,65,Abundance GBR,10,cat,22,Derived from textual description,uncommon,expert_opinion,,,,,
2412,1,1,35,Acropora caroliniana,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,2318,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,25998762.33,raw_value,,,,,
110978,1,2,36,Acropora cerealis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125425,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,corymbose,expert_opinion,,,,,
156947,1,14,36,Acropora cerealis,Complex,Acroporidae,Acroporidae,409,Indo-Pacific (unspecified),0,160,740,,199749,233,Life history strategy,10,cat,76,Random forests analyses (Darling et al. 2012),competitive,model_derived,,,,,
2476,1,5,36,Acropora cerealis,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,2387,65,Abundance GBR,10,cat,22,Derived from textual description,common,expert_opinion,,,,,
2502,1,1,36,Acropora cerealis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,2412,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,34208935.48,raw_value,,,,,
91929,1,54,36,Acropora cerealis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99656,138,Range size,8,km^2,10,Calculated from GIS shapefile,80903206.51,raw_value,,,,,
156948,1,14,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,522,Atlantic (unspecified),13.695557,-47.026395,740,,199750,233,Life history strategy,10,cat,76,Random forests analyses (Darling et al. 2012),competitive,model_derived,,,,,
110981,1,2,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125428,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_open,expert_opinion,,,,,
2584,1,1,37,Acropora cervicornis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,2491,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,3772055.817,raw_value,,,,,
91934,1,54,38,Acropora chesterfieldensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99661,138,Range size,8,km^2,10,Calculated from GIS shapefile,19636408.85,raw_value,,,,,
2661,1,1,38,Acropora chesterfieldensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,2564,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,14795236.05,raw_value,,,,,
2636,1,5,38,Acropora chesterfieldensis,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,2540,65,Abundance GBR,10,cat,22,Derived from textual description,rare,expert_opinion,,,,,
110983,1,2,38,Acropora chesterfieldensis,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125430,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_closed,expert_opinion,,,,,
110986,1,2,39,Acropora clathrata,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125433,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,tables_or_plates,expert_opinion,,,,,
91939,1,54,39,Acropora clathrata,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99666,138,Range size,8,km^2,10,Calculated from GIS shapefile,88786053.31,raw_value,,,,,
2748,1,1,39,Acropora clathrata,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,2647,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,41776112.27,raw_value,,,,,
2722,1,5,39,Acropora clathrata,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,2622,65,Abundance GBR,10,cat,22,Derived from textual description,common,expert_opinion,,,,,
2814,1,1,40,Acropora convexa,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,2712,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,8456801.96,raw_value,,,,,
91944,1,54,40,Acropora convexa,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99671,138,Range size,8,km^2,10,Calculated from GIS shapefile,7328348.634,raw_value,,,,,
110988,1,2,40,Acropora convexa,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125435,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,corymbose,expert_opinion,,,,,
2882,1,1,41,Acropora cophodactyla,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,2779,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,13681246.35,raw_value,,,,,
91949,1,54,41,Acropora cophodactyla,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99676,138,Range size,8,km^2,10,Calculated from GIS shapefile,17919449.17,raw_value,,,,,
110990,1,2,41,Acropora cophodactyla,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125437,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,digitate,expert_opinion,,,,,
91954,1,54,42,Acropora copiosa,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99681,138,Range size,8,km^2,10,Calculated from GIS shapefile,44551775.09,raw_value,,,,,
2950,1,1,42,Acropora copiosa,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,2846,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,25139048.94,raw_value,,,,,
110992,1,2,42,Acropora copiosa,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125439,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_open,expert_opinion,,,,,
110994,1,2,45,Acropora cylindrica,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125441,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,branching_open,expert_opinion,,,,,
3167,1,1,45,Acropora cylindrica,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,3056,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,10682382.62,raw_value,,,,,
91969,1,54,45,Acropora cylindrica,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99696,138,Range size,8,km^2,10,Calculated from GIS shapefile,9733054.358,raw_value,,,,,
156949,1,14,46,Acropora cytherea,Complex,Acroporidae,Acroporidae,409,Indo-Pacific (unspecified),0,160,740,,199751,233,Life history strategy,10,cat,76,Random forests analyses (Darling et al. 2012),competitive,model_derived,,,,,
91974,1,54,46,Acropora cytherea,Complex,Acroporidae,Acroporidae,1,Global estimate,,,605,,99701,138,Range size,8,km^2,10,Calculated from GIS shapefile,105598390.3,raw_value,,,,,
3262,1,1,46,Acropora cytherea,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,3149,138,Range size,8,km^2,74,Calculated from Veron ecoregion shapefile,42467007.32,raw_value,,,,,
110996,1,2,46,Acropora cytherea,Complex,Acroporidae,Acroporidae,1,Global estimate,,,10,,125443,183,Growth form typical,10,cat,55,Growth form derived from Veron (2000) textual descriptions,tables_or_plates,expert_opinion,,,,,
3236,1,5,46,Acropora cytherea,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,3124,65,Abundance GBR,10,cat,22,Derived from textual description,common,expert_opinion,,,,,
3317,1,5,47,Acropora dendrum,Complex,Acroporidae,Acroporidae,2,Great Barrier Reef (GBR),-17.832374,146.821289,38,282,3201,65,Abundance GBR,10,cat,22,Derived from textual description,rare,expert_opinion,,,,,
